NO,Kelompok,Skor_DS,Skor_FOMO,Skor_DB,Norm_DS,Norm_FOMO,Norm_DB,Kategori_Aktual
301,Gamer,55,44,103,89.5833333333333,85,82.2916666666667,Tinggi
302,Gamer,53,46,102,85.4166666666667,90,81.25,Tinggi
303,Gamer,44,43,105,66.6666666666667,82.5,84.375,Tinggi
304,Gamer,53,45,103,85.4166666666667,87.5,82.2916666666667,Tinggi
305,Gamer,32,19,101,41.6666666666667,22.5,80.2083333333333,Tinggi
306,Gamer,51,43,103,81.25,82.5,82.2916666666667,Tinggi
307,Gamer,52,43,101,83.3333333333333,82.5,80.2083333333333,Tinggi
308,Gamer,52,44,103,83.3333333333333,85,82.2916666666667,Tinggi
309,Gamer,22,16,42,20.8333333333333,15,18.75,Rendah
310,Gamer,54,44,103,87.5,85,82.2916666666667,Tinggi
311,Gamer,51,44,103,81.25,85,82.2916666666667,Tinggi
312,Gamer,51,44,105,81.25,85,84.375,Tinggi
313,Gamer,49,43,102,77.0833333333333,82.5,81.25,Tinggi
314,Gamer,52,44,107,83.3333333333333,85,86.4583333333333,Tinggi
315,Gamer,53,43,105,85.4166666666667,82.5,84.375,Tinggi
316,Gamer,53,44,106,85.4166666666667,85,85.4166666666667,Tinggi
317,Gamer,53,44,106,85.4166666666667,85,85.4166666666667,Tinggi
318,Gamer,52,43,106,83.3333333333333,82.5,85.4166666666667,Tinggi
319,Umum,52,44,105,83.3333333333333,85,84.375,Tinggi
320,Umum,52,43,108,83.3333333333333,82.5,87.5,Tinggi
321,Gamer,53,43,104,85.4166666666667,82.5,83.3333333333333,Tinggi
322,Gamer,55,43,101,89.5833333333333,82.5,80.2083333333333,Tinggi
323,Gamer,54,46,102,87.5,90,81.25,Tinggi
324,Gamer,22,19,58,20.8333333333333,22.5,35.4166666666667,Rendah
325,Gamer,21,23,54,18.75,32.5,31.25,Rendah
326,Gamer,53,44,101,85.4166666666667,85,80.2083333333333,Tinggi
327,Gamer,52,43,104,83.3333333333333,82.5,83.3333333333333,Tinggi
328,Gamer,53,43,106,85.4166666666667,82.5,85.4166666666667,Tinggi
329,Gamer,22,17,40,20.8333333333333,17.5,16.6666666666667,Rendah
330,Gamer,54,45,99,87.5,87.5,78.125,Tinggi
331,Umum,53,43,105,85.4166666666667,82.5,84.375,Tinggi
332,Umum,53,44,107,85.4166666666667,85,86.4583333333333,Tinggi
333,Umum,53,43,105,85.4166666666667,82.5,84.375,Tinggi
334,Umum,50,42,96,79.1666666666667,80,75,Tinggi
335,Umum,50,41,88,79.1666666666667,77.5,66.6666666666667,Tinggi
336,Umum,50,43,97,79.1666666666667,82.5,76.0416666666667,Tinggi
337,Umum,50,43,103,79.1666666666667,82.5,82.2916666666667,Tinggi
338,Umum,48,42,89,75,80,67.7083333333333,Tinggi
339,Gamer,18,15,36,12.5,12.5,12.5,Rendah
340,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
341,Gamer,54,46,106,87.5,90,85.4166666666667,Tinggi
342,Gamer,54,45,108,87.5,87.5,87.5,Tinggi
343,Gamer,51,44,104,81.25,85,83.3333333333333,Tinggi
344,Gamer,53,45,107,85.4166666666667,87.5,86.4583333333333,Tinggi
345,Gamer,53,44,106,85.4166666666667,85,85.4166666666667,Tinggi
